"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"BZB2IR6A","journalArticle","1923","Hilbert, David","Die logischen Grundlagen der Mathematik","Mathem. Annalen","","","","","","1923","2024-03-27 16:11:58","2024-03-27 23:15:00","","151-165","","","88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DKTNBVJV","journalArticle","1931","Hilbert, David","Die Grundlegung der elementaren Zahlenlehre","Mathem. Annalen","","","","","","1931","2024-03-27 16:12:31","2024-03-27 23:15:32","","485-494","","","104","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEXUIJ4Q","journalArticle","1913","Hilbert, David","Begründung der elementaren Strahlungstheorie","Göttinger Nachrichten","","","","","","1913","2024-03-27 16:14:03","2024-03-27 16:14:44","","773-789","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92Q2D3CZ","journalArticle","1913","Hilbert, David","Bemerkungen zur Begründung der elementaren Strahlungstheorie","Göttinger Nachrichten","","","","","","1913","2024-03-27 16:14:44","2024-03-27 16:15:33","","409-416","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GE87YZAC","journalArticle","1914","Hilbert, David","Zur Begründung der elementaren Strahlungstheorie. Dritte Mitteilung","Göttinger Nachrichten","","","","","","1914","2024-03-27 16:15:33","2024-03-27 16:16:09","","275-298","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FPIHHRYF","journalArticle","1924","Hilbert, David","Die Grundlagen der Physik","Mathem. Annalen","","","","","","1924","2024-03-27 16:16:09","2024-03-27 23:15:04","","1-32","","","92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4CFQS4HN","journalArticle","1901","Hilbert, David","Mathematische Probleme","Archiv f. Math. u. Phys.","","","","","","1901","2024-03-27 16:18:32","2024-03-27 23:17:11","","44-63","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y63ARUIG","journalArticle","1897","Hilbert, David","Zum Gedächtnis an Karl Welerstrass","Göttinger Nachrichten","","","","","","1897","2024-03-27 16:19:33","2024-03-27 16:20:01","","60-69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IFF869US","journalArticle","1910","Hilbert, David","Hermann Minkowski","Göttinger Nachrichten","","","","","","1910","2024-03-27 16:20:15","2024-03-27 16:20:42","","72-101","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U6WYGD4K","journalArticle","1917","Hilbert, David","Gaston Darboux","Göttinger Nachrichten","","","","","","1917","2024-03-27 16:20:46","2024-03-27 16:21:15","","71-75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P2URE2S6","journalArticle","1921","Hilbert, David","Adolf Hurwitz","Mathem. Annalen","","","","","","1921","2024-03-27 16:21:18","2024-03-27 23:14:47","","161-168","","","83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PU2F3DSV","journalArticle","1930","Hilbert, David","Naturerkennen und Logik","Naturwissenschaften","","","","","","1930","2024-03-27 16:21:58","2024-03-27 16:24:12","","959-963","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NQ9ZMDUF","journalArticle","1885","Hilbert, David","Über eine allgemeine Gattung irrationaler Invarianten und Ко Varianten für eine binäre Grundform geraden Grades.","Berichte über die Verhandlungen der lichen Sächsischen Gesellschaft der Wissenschaften zu Leipzig. Math.-phys.","","","","","","1885","2024-03-27 17:04:56","2024-03-27 17:05:34","","427-438","","","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4BNAUHZK","journalArticle","1887","Hilbert, David","Über die Büschel von binären Formen mit der nämlichen Funktionaldeterminante.","Berichte über die Verhandlungen der lichen Sächsischen Gesellschaft der Wissenschaften zu Leipzig. Math.-phys.","","","","","","1887","2024-03-27 17:05:34","2024-03-27 22:28:30","","112-122","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WR2N6RKQ","journalArticle","1891","Hilbert, David","Über die Theorie der algebraischen Invarianten.","Nachr. Ges. Wiss. Göttingen","","","","","","1891","2024-03-27 22:28:51","2024-03-27 22:29:40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DIBL5JGT","journalArticle","1891","Hilbert, David","Über volle Invariantensysteme","Verhandlungen der Gesellschaft deutscher forscher und Ärzte","","","","","","1891","2024-03-27 22:29:40","2024-03-27 22:30:32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3UUQKNS7","journalArticle","1895","Hilbert, David","Über die gerade Linie als kürzeste Verbindung zweier Punkte","Mathem. Annalen","","","","","","1895","2024-03-27 22:30:32","2024-03-27 23:13:44","","91-96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3PAFNCCK","journalArticle","1895","Hilbert, David","De Séguier: Formes quadratiques et multiplication complexe d'après Kronecker.","Göttingische gelehrte Anzeigen","","","","","","1895","2024-03-27 22:31:23","2024-03-27 22:31:51","","11-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"562ISQID","journalArticle","1900","Hilbert, David","Über den Zahlbegriff","Jber. dtsch. Math.-Ver.","","","","","","1900","2024-03-27 22:32:28","2024-03-27 23:13:50","","180-184","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UQVDBXVN","journalArticle","1902","Hilbert, David","Über die Grundlagen der Geometrie","Nachr. Ges. Wiss. Göttingen","","","","","","1902","2024-03-27 22:33:10","2024-03-27 22:33:38","","381—422","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J3SMHW25","journalArticle","1903","Hilbert, David","Neue Begründung der Bolyai-Lobatschef skyschen Geometrie.","Mathem. Annalen","","","","","","1903","2024-03-27 22:33:40","2024-03-27 23:14:01","","137-150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V69L5TKG","journalArticle","1903","Hilbert, David","Über den Satz von der Gleichheit der Basiswinkel im gleichschenkligen Dreieck.","Proc. Lond. Math. Soc.","","","","","","1903","2024-03-27 22:34:17","2024-03-27 23:14:04","","50—68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3REXR3TY","journalArticle","1904","Hilbert, David","Theorie der algebraischen Zahlkörper. Theorie der Kreiskörper.","Encyklopädie der mathematischen Wissenschaften mit Einschluß ihrer Anwendungen","","","","","","1904","2024-03-27 22:44:26","2024-04-01 17:57:31","","675-698, S. 699—714.","","","I (2) S.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZPTE9XAD","journalArticle","1904","Hilbert, David","Grundzüge einer allgemeinen Theorie der linearen Integralgleichungen.","Nachr. Ges. Wiss. Göttingen","","","","","","1904","2024-03-27 22:45:39","2024-03-27 22:46:09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VZ2D8433","conferencePaper","1905","Hilbert, David","Über die Grundlagen der Logik und Arithmetik.","","","","","","","1905","2024-03-27 22:46:09","2024-03-27 22:47:38","","","","","","","","","","","","","","Leipzig","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Verhandlungen des 3. internationalen Mathematiker-Kongresses in Heidelberg.","","","","","","","","","","","","","","",""
"2LUMAX2P","conferencePaper","1904","Hilbert, David","Über eine Anwendung der Integralgleichungen auf ein Problem der theorie.","","","","","","","1904","2024-03-27 22:47:45","2024-04-01 17:56:03","","233-240","","","","","","","","","","","","Berg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Verhandlungen des 3. internationalen Mathematiker-Kongresses","","","","","","","","","","","","","","",""
"PZURVTDP","book","1912","Hilbert, David","Grundzüge einer allgemeinen Theorie der linearen Integralgleichungen.","","","","","","","1912","2024-03-27 22:48:28","2024-03-27 22:56:08","","","","","","","","","","","","","B. G. Teubner.","Leipzig and Berlin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LS5DBAG8","journalArticle","1912","Hilbert, David","Begründung der kinetischen Gastheorie.","Mathem. Annalen","","","","","","1912","2024-03-27 22:56:10","2024-03-27 23:14:30","","562—577","","","71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4D86CASU","journalArticle","1915","Hilbert, David","Die Grundlagen der Physik.","Nachr. Ges. Wiss. Göttingen","","","","","","1915","2024-03-27 23:02:43","2024-03-27 23:03:17","","53-76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K55BLALZ","journalArticle","1926","Hilbert, David","Über das Unendliche.","Mathem. Annalen","","","","","","1926","2024-03-27 23:03:17","2024-03-27 23:15:11","","161-190","","","95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78PGJWHT","journalArticle","1927","Hilbert, David","Referat über die geometrischen Schriften und Abhandlungen Hermann Weyls, stattet der Physikalisch-Mathematischen Gesellschaft an der Universität Kasan.","Bull. Soz. Phys.-Math. Kazan.","","","","","","1927","2024-03-27 23:04:17","2024-03-27 23:05:37","","","","","Reihe III, Bd. 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FUH5LVN6","journalArticle","1928","Hilbert, David","Über die Grundlagen der Quantenmechanik","Mathem. Annalen","","","","","","1928","2024-03-27 23:05:37","2024-03-27 23:15:16","","1-30","","","98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UD72CWHX","manuscript","1927","Hilbert, David","Die Grundlagen der Mathematik.","","","","","","","1927","2024-03-27 23:06:20","2024-04-01 17:55:11","","","","","","","","","","","","","","Hamburg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GWX48VIY","journalArticle","1930","Hilbert, David","Probleme der Grundlegung der Mathematik","Mathem. Annalen","","","","","","1930","2024-03-27 23:12:01","2024-03-27 23:15:25","","1-9","","","102","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PUUW2UHJ","journalArticle","1931","Hilbert, David","Beweis des tertium non datur.","Nachr. Ges. Wiss. Göttingen","","","","","","1931","2024-03-27 23:12:40","2024-03-27 23:13:08","","120-125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KDEKG29Z","book","1928","Hilbert, David; Ackermann","Grundzüge der theoretischen Logik","","","","","","","1928","2024-03-27 23:17:44","2024-03-27 23:19:49","","","","","","","","","","","","","Julius Springer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4SKB3X4H","book","1934","Bernays, Paul; Hilbert, David","Grundlagen der Mathematik, Vol. 1","","","","","","","1934","2024-03-27 23:18:02","2024-03-27 23:19:42","","","","","","","","","","","","","Julius Springer","Berlin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGAABZU7","book","1934","Bernays, Paul; Hilbert, David","Grundlagen der Mathematik, Vol. 2","","","","","","","1934","2024-03-27 23:18:04","2024-03-27 23:19:40","","","","","","","","","","","","","Julius Springer","Berlin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QK36BSVU","book","1932","Hilbert, David; Cohn-Vossen, S","Anschauliche Geometrie.","","","","","","","1932","2024-03-27 23:18:30","2024-03-27 23:19:16","","","","","","","","","","","","","Julius Springer","Berlin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FEWQTR2C","book","1899","Hilbert, David","Grundlagen der Geometrie","","","","","","","1899","2024-03-27 23:20:02","2024-03-27 23:20:50","","","","","","","","","","","","","B. G. Teubner","Leipzig","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UHKUIYEH","journalArticle","1893","Hilbert, David","Über die Transzendenz der Zahlen e und x","Nachrichten der Gesellschaft der Wissenschaften zu Göttingen","","","","","","1893","2024-03-27 23:25:00","2024-03-27 23:25:50","","113—116","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9ACI3EQY","journalArticle","1894","Hilbert, David","Zwei neue Beweise für die Zerlegbarkeit der Zahlen eines Körpers in Primideale","Jahresbericht der Deutschen Mathematikervereinigung","","","","","","1894","2024-03-27 23:25:50","2024-03-27 23:26:23","","69","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ST4HWLLJ","journalArticle","1894","Hilbert, David","Über die Zerlegung der Ideale eines Zahlkörpers in Primideale","Mathem . Annalen","","","","","","1894","2024-03-27 23:26:25","2024-03-27 23:26:56","","1-8","","","44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AX5TC4R8","journalArticle","1894","Hilbert, David","Grundzüge einer Theorie des Galoisschen Zahlkörpers","Nachrichten der Gesellschaft der Wissenschaften zu Göttingen","","","","","","1894","2024-03-27 23:26:56","2024-03-27 23:27:28","","224-236","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2TKBTIU8","journalArticle","1894","Hilbert, David","Über den Dirichletschen biquadratischen Zahlkörper","Mathem . Annalen","","","","","","1894","2024-03-27 23:27:28","2024-03-27 23:36:02","","309-340","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XFLHYAK2","journalArticle","1896","Hilbert, David","Ein neuer Beweis des Kroneckerschen Fundamentalsatzes über Abelsohe Zahlkörper","Nachrichten der Gesellschaft der Wissenschaften zu Göttmgen","","","","","","1896","2024-03-27 23:28:08","2024-03-27 23:28:38","","29-39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4KQVTWD3","journalArticle","1897","Hilbert, David","Die Theorie der algebraischen Zahlkörper","Jahresbericht der Deutschen Mathematikervereinigimg","","","","","","1897","2024-03-27 23:28:38","2024-03-27 23:30:16","","176—646","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B7BX9A9S","journalArticle","1899","Hilbert, David","Über die Theorie der relativ quadratischen Zahlkörper","Jahresbericht der Deutschen Mathematikervereinigung","","","","","","1899","2024-03-27 23:30:16","2024-03-27 23:30:46","","88-94","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZDTGKVCY","journalArticle","1899","Hilbert, David","Über die Theorie des relativquadratiscben Zahlkörpers","Mathem . Annalen","","","","","","1899","2024-03-27 23:30:50","2024-03-27 23:36:07","","1-127","","","51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CVN8KLT6","journalArticle","1902","Hilbert, David","Über die Theorie der relativ-Abelschen Zahlkörper","Acta Mathematica","","","","","","1902","2024-03-27 23:31:27","2024-03-27 23:32:06","","99-132","","","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23S6EVL5","journalArticle","1909","Hilbert, David","Beweis für die Parstellbarkeit der ganzen Zahlen durch eine feste Anzahl n-ter Potenzen (Waringsches Problem)","Nachrichten der Gesellsctiaft der Wissenschaften zu Göttingen","","","","","","1909","2024-03-27 23:32:09","2024-03-27 23:33:21","","17-36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FZTZ2P84","journalArticle","1885","Hilbert, David","Über die invarianten Eigenschaften spezieller binärer Formen, insbesondere der Kugelfunktionen","Inauguraldissertation . Königsberg i. Pr.","","","","","","1885","2024-03-27 23:41:30","2024-03-27 23:42:22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DBWUULEJ","journalArticle","1886","Hilbert, David","Über die notwendigen und hinreichenden kovarianten Bedingungen für die Darstellbarkeit einer binären Form als vollständiger Potenz","Mathem . Annalen","","","","","","1886","2024-03-27 23:44:09","2024-03-27 23:48:40","","158-161","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26FMP4KX","journalArticle","1887","Hilbert, David","Über einen allgemeinen Gesichtspunkt für invariantentheoretische suchungen im binären Formengebiete","Mathem . Annalen","","","","","","1887","2024-03-27 23:45:02","2024-03-27 23:45:51","","381-446","","","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZS67P3SX","journalArticle","1887","Hilbert, David","Über eine Darstellungsweise der invarianten Gebilde im binären Formengebiete","Mathem . Annalen","","","","","","1887","2024-03-27 23:45:51","2024-03-27 23:46:50","","15-29","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UCBM3BNW","journalArticle","1887","Hilbert, David","Über die Singularitäten der Biskriminantenfläche","Mathem. Annalen","","","","","","1887","2024-03-27 23:46:50","2024-03-27 23:48:46","","437-441","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DAHQDN9N","journalArticle","1887","Hilbert, David","Über binäre Formenbüsehel mit besonderer Kombinanteneigenschaft","Mathem. Annalen","","","","","","1887","2024-03-29 17:04:36","2024-03-29 17:05:06","","661-670","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STJ5Y6K7","journalArticle","1888","Hilbert, David","Über binäre Formen mit vorgeschriebener Diskrlmlnante","Mathem. Annalen","","","","","","1888","2024-03-29 17:05:06","2024-03-29 17:05:39","","482-492","","","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E2WAPSWL","journalArticle","1888","Hilbert, David","Über die Diskriminante der im Endlichen abbrechenden hypergeometrischen Reihe","Joum . f. reine und angew. Math","","","","","","1888","2024-03-29 17:05:39","2024-03-29 17:06:22","","337-345","","","103","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VSIMJXGN","journalArticle","1888","Hilbert, David","Lettre adressée à M, Hermite","J. Math, pures appl. 4. Reihe","","","","","","1888","2024-03-29 17:06:22","2024-03-29 17:07:10","","249-266","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TGV6UEUZ","journalArticle","1888","Hilbert","Ober die Darstellung definlter Formen als Summe von Formenquadraten","Mathem. Annalen","","","","","","1888","2024-03-29 17:07:10","2024-04-01 17:53:18","","342-360","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AD8B2F37","journalArticle","1889","Hilbert","Über die Endlichkeit des Invariantensystems für binäre Grundformen","Mathem. Annalen","","","","","","1889","2024-03-29 17:07:34","2024-04-01 17:54:09","","223-226","","","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
