Token,9999,LABEL:UYYbisXZ,Paragraph_ID,Book_Paragraph_ID,Paragraph_Reference,CollectedHitRankSummary,CollectedHits,TokensInParagraph,TotalUniquedScore,TotalUniquedScorePercentage,TotalHitCount,HitTypeTokenRatio,SummaryUnique_Hits_U,Unique_Hits_U,SummaryUnique_Hits_Y,Unique_Hits_Y,SummaryUnique_Hits_Ybis,Unique_Hits_Ybis,SummaryUnique_Hits_X,Unique_Hits_X,SummaryUnique_Hits_Z,Unique_Hits_Z,Paragraph_(lemmatized),Paragraph_(tokenized),Annotator 1,RQ1_Score,RQ1_Notes,RQ2_Score,RQ2_Notes,Remarks for further research
-- content[1] -- -- --,3,NYNNN,P_000128,B_0000P_0128,foundmath1-12.p.7,Y:3:1,-- content[1] -- -- --,174,1,0.57,1,100,n.a.,--,Y:3:1,content[1],n.a.,--,n.a.,--,n.a.,--,"LEM:the axiomatic standpoint be make more rigorous in hilbert ' s foundations of geometry . the great rigour consist in the fact that in the axiomatic development of a theory one retain only that portion of the representational subject matter , from which the fundamental concept of the theory be form , that be formulate as an extract in the axiom ; one abstract , however , from all other content . the existential form come along as a further moment in axiomatic in its most narrow meaning , through which the axiomatic method be distinguish from the constructive or genetic method of ground a theory .1 whereas in the constructive method the object of a theory be introduce merely as a genus of thing ,2 in an axiomatic theory one be concern with a fix system of thing ( or several such system ) which constitute , from the beginning , a delimited / circumscribe domain of subject for all the predicate out of which the statement of the theory be constitute .","TOK:The axiomatic standpoint was made more rigorous in Hilbert ’ s Foundations of Geometry . The greater rigour consists in the fact that in the axiomatic development of a theory one retains only that portion of the representational subject matter , from which the fundamental concepts of the theory are formed , that is formulated as an extract in the axioms ; one abstracts , however , from all other content . The existential form comes along as a further moment in axiomatics in its most narrow meaning , through which the axiomatic method is distinguished from the constructive or genetic method of grounding a theory .1 Whereas in the constructive method the objects of a theory are introduced merely as a genus of things ,2 in an axiomatic theory one is concerned with a fixed system of things ( or several such systems ) which constitutes , from the beginning , a delimited / circumscribed domain of subjects for all the predicates out of which the statements of the theory are constituted .",,1,,0,,
-- contentual[1] formal[1] -- -- --,6,NYNNN,P_000130,B_0000P_0130,foundmath1-12.p.9,Y:3:2,-- contentual[1] formal[1] -- -- --,114,2,1.75,2,100,n.a.,--,Y:3:2,contentual[1] formal[1],n.a.,--,n.a.,--,n.a.,--,"LEM:it be a characteristic of this more rigouro form of axiomatic that result through both abstraction from the subject matter and the existential form — we want to call it "" formal axiomatic "" for short—that it require a proof of consistency , while contentual axiomatic introduce its fundamental concept by reference to known fact of experience and present its basic principle either as obvious fact , which one can make clear to oneself , or as extract from complex of experience , thereby express the belief that one be on the track of law of nature and at the same time intend to support this belief through the success of the theory .","TOK:It is a characteristic of this more rigouros form of axiomatics that results through both abstraction from the subject matter and the existential form — we want to call it “ formal axiomatics ” for short—that it requires a proof of consistency , while contentual axiomatics introduces its fundamental concepts by reference to known facts of experience and presents its basic principles either as obvious facts , which one can make clear to oneself , or as extracts from complexes of experiences , thereby expressing the belief that one is on the track of laws of nature and at the same time intending to support this belief through the success of the theory .",,1,,-1,,
-- formal[1] -- -- --,3,NYNNN,P_000131,B_0000P_0131,foundmath1-12.p.10,Y:3:1,-- formal[1] -- -- --,89,1,1.12,1,100,n.a.,--,Y:3:1,formal[1],n.a.,--,n.a.,--,n.a.,--,"LEM:in any case , formal axiomatic require certain evidence for the execution of deduction as well as for the proof of consistency , but with the essential difference that this kind of evidence be not base upon any particular epistemological relation to the respective subject domain . rather , it be one and the same for every axiomatization ; namely , that primitive kind of knowledge which form the precondition of every exact theoretical investigation whatsoever . we will have to consider this kind of evidence more closely .","TOK:In any case , formal axiomatics requires certain evidence for the execution of deductions as well as for the proof of consistency , but with the essential difference that this kind of evidence is not based upon any particular epistemological relation to the respective subject domain . Rather , it is one and the same for every axiomatization ; namely , that primitive kind of knowledge which forms the precondition of every exact theoretical investigation whatsoever . We will have to consider this kind of evidence more closely .",,0,,0,,
-- contentual[2] formal[3] formalism[1] -- -- --,9,NYNNN,P_000132,B_0000P_0132,foundmath1-12.p.11,Y:3:3,-- contentual[2] formal[3] formalism[1] -- -- --,83,3,3.61,6,50,n.a.,--,Y:3:3,contentual[2] formal[3] formalism[1],n.a.,--,n.a.,--,n.a.,--,"LEM:the follow aspect be , above all , to be consider for the proper assessment of the relation between contentual and formal axiomatic with regard to their significance for knowledge : formal axiomatic necessarily require contentual axiomatic as its supplement because only in term of this supplement do one receive guidance for the selection of formalism and , far , in the case of a give formal theory , do one then receive instruction of its applicability to some domain of reality .","TOK:The following aspects are , above all , to be considered for the proper assessment of the relation between contentual and formal axiomatics with regards to their significance for knowledge : Formal axiomatics necessarily requires contentual axiomatics as its supplement because only in terms of this supplement does one receive guidance for the selection of formalisms and , further , in the case of a given formal theory , does one then receive instruction of its applicability to some domain of reality .",,0,,-1,,
-- content[1] contentual[1] -- -- --,6,NYNNN,P_000133,B_0000P_0133,foundmath1-12.p.12,Y:3:2,-- content[1] contentual[1] -- -- --,188,2,1.06,2,100,n.a.,--,Y:3:2,content[1] contentual[1],n.a.,--,n.a.,--,n.a.,--,"LEM:on the other hand we cannot rest content at the level of contentual axiomatic , since in science we be if not always , so nevertheless predominantly , concern with such theory that do not completely reproduce the actual state of affair , but represent a simplify idealization of that state of affair and gain their meaning through this idealization . a theory of that kind cannot receive its foundation by appeal to the evident truth of its axiom or to experience ; rather , the grounding can be bring about only in the sense that the idealization perform in the theory , i . e . , the extrapolation — through which the concept formation and principle of the theory transcend the range of either intuitive evidence or the datum of experience—i see to be consistent . addionally , any appeal to the approximate validity of the principle be of no use to we for this knowledge of consistency ; for , of course , a contradiction can come about just from take a relation to be strictly valid which only hold in a restricted sense .","TOK:On the other hand we cannot rest content at the level of contentual axiomatics , since in science we are if not always , so nevertheless predominantly , concerned with such theories that do not completely reproduce the actual state of affairs , but represent a simplifying idealization of that state of affairs and gain their meaning through this idealization . A theory of that kind cannot receive its foundation by appealing to the evident truth of its axioms or to experience ; rather , the grounding can be brought about only in the sense that the idealization performed in the theory , i . e . , the extrapolation — through which the concept formations and principles of the theory transcend the range of either intuitive evidence or the data of experience—is seen to be consistent . Addionally , any appeal to the approximate validity of the principles is of no use to us for this knowledge of consistency ; for , of course , a contradiction can come about just from taking a relation to be strictly valid which only holds in a restricted sense .",,0,"Together with the information in P_000132, the score for both paragraph could change to 1",-1,,
-- formal[1] -- -- --,3,NYNNN,P_000134,B_0000P_0134,foundmath1-12.p.13,Y:3:1,-- formal[1] -- -- --,33,1,3.03,1,100,n.a.,--,Y:3:1,formal[1],n.a.,--,n.a.,--,n.a.,--,"LEM:we be therefore force to investigate the consistency of theoretical system , suppress any consideration of matter of fact , and we thus already find ourselves on the standpoint of formal axiomatic .","TOK:We are therefore forced to investigate the consistency of theoretical systems , suppressing any considerations of matters of fact , and we thus already find ourselves on the standpoint of formal axiomatics .",,0,,-1,,
-- generally[1] -- -- --,3,NYNNN,P_000137,B_0000P_0137,foundmath1-12.p.16,Y:3:1,-- generally[1] -- -- --,88,1,1.14,1,100,n.a.,--,Y:3:1,generally[1],n.a.,--,n.a.,--,n.a.,--,"LEM:but before we busy ourselves with this question , we want to see whether there be not a direct way of tackle the problem of conistency . yet , we want clearly and generally to present the structure of this problem . at the same time , we want also to take the opportunity to somewhat familiarize ourselves with the logical symbolism , which prove to be very useful for the purpose at hand and which we will have to consider in more detail in the following .","TOK:But before we busy ourselves with this question , we want to see whether there is not a direct way of tackling the problem of conistency . Yet , we want clearly and generally to present the structure of this problem . At the same time , we want also to take the opportunity to somewhat familiarize ourselves with the logical symbolism , which proves to be very useful for the purpose at hand and which we will have to consider in more detail in the following .",,-1,,-1,,
-- generality[1] -- -- --,3,NYNNN,P_000142,B_0000P_0142,foundmath1-12.p.21,Y:3:1,-- generality[1] -- -- --,168,1,0.6,1,100,n.a.,--,Y:3:1,generality[1],n.a.,--,n.a.,--,n.a.,--,"LEM:for the symbolic presentation of the axiom , we now require in addition the logical sign . firstly , there be the sign for generality and existence : if p(x) be a predicate refer to the thing x , then (x)p ( x ) mean "" all x have the property p(x) "" , and (ex)p ( x ) mean "" there be an x with the property p(x) . "" ( x ) be call the "" for - all sign , "" and ( ex ) the "" there-is sign . "" the for - all and there-is sign can also refer to any other variable y , z , u in the same way that they refer to x . the variable belong to such a sign become "" bind "" by this sign , just as a variable of integration be bind by the integral sign in such a way that the whole statement do not depend on the value of the variable .","TOK:For the symbolic presentation of the axioms , we now require in addition the logical signs . firstly , there are the signs for generality and existence : if P(x) is a predicate referring to the thing x , then (x)P ( x ) means “ All x have the property P(x) ” , and (Ex)P ( x ) means “ There is an x with the property P(x) . ” ( x ) is called the “ for - all sign , ” and ( Ex ) the “ there-is sign . ” The for - all and there-is signs can also refer to any other variable y , z , u in the same way that they refer to x . The variable belonging to such a sign becomes “ bound ” by this sign , just as a variable of integration is bound by the integral sign in such a way that the whole statement does not depend on the value of the variables .",,-1,,-1,,
-- general[1] -- -- --,3,NYNNN,P_000146,B_0000P_0146,foundmath1-12.p.25,Y:3:1,-- general[1] -- -- --,126,1,0.79,1,100,n.a.,--,Y:3:1,general[1],n.a.,--,n.a.,--,n.a.,--,"LEM:the combination of the implication sign with the for - all sign result in the representation of general hypothetical statement . for example , the formula ( x ) ( y ) ( a ( x , y ) → b ( x , y ) ) , where a ( x , y ) , b ( x , y ) represent certain relation between x and y , represent the statement "" if a ( x , y ) hold , then b ( x , y ) , "" or also : "" for every pair of individual x , y for which a ( x , y ) hold , then so do b ( x , y ) . "" a","TOK:The combination of the implication sign with the for - all sign results in the representation of general hypothetical statements . For example , the formula ( x ) ( y ) ( A ( x , y ) → B ( x , y ) ) , where A ( x , y ) , B ( x , y ) represent certain relations between x and y , represents the statement “ If A ( x , y ) holds , then B ( x , y ) , ” or also : “ for every pair of individuals x , y for which A ( x , y ) holds , then so does B ( x , y ) . ” a",,-1,,-1,,
-- general[1] -- -- --,3,NYNNN,P_000169,B_0000P_0169,foundmath1-12.p.48,Y:3:1,-- general[1] -- -- --,51,1,1.96,1,100,n.a.,--,Y:3:1,general[1],n.a.,--,n.a.,--,n.a.,--,"LEM:since we be leave aside congruence axiom , we must take the parallel axiom in the more general form : "" for every straight line and any point outside this line , there be exactly one straight line through this point which do not intersect the give line "" . a","TOK:Since we are leaving aside congruence axioms , we must take the Parallel Axiom in the more general form : “ For every straight line and any point outside this line , there is exactly one straight line through this point which does not intersect the given line ” . a",,-1,,-1,,
-- content[1] contentual[1] contentually[1] -- -- --,9,NYNNN,P_000174,B_0000P_0174,foundmath1-12.p.53,Y:3:3,-- content[1] contentual[1] contentually[1] -- -- --,50,3,6,3,100,n.a.,--,Y:3:3,content[1] contentual[1] contentually[1],n.a.,--,n.a.,--,n.a.,--,"LEM:this presentation still correspond to the contentual axiomatic system , in which the basic relation be view as demonstrable either in experience or in intuitable representation , and with this be thus contentually definite . the statement of the theory can thus be see as assertion about this content .","TOK:This presentation still corresponds to the contentual axiomatic system , in which the basic relations are viewed as demonstrable either in experience or in intuitable representation , and with this are thus contentually definite . The statements of the theory can thus be seen as assertions about this content .",,0,,-1,,
-- content[1] formal[1] -- -- --,6,NYNNN,P_000175,B_0000P_0175,foundmath1-12.p.54,Y:3:2,-- content[1] formal[1] -- -- --,62,2,3.23,2,100,n.a.,--,Y:3:2,content[1] formal[1],n.a.,--,n.a.,--,n.a.,--,"LEM:in formal axiomatic on the other hand , the fundamental relation be not assume to be determine in content from the beginning ; rather , they obtain their determination at the outset implicitly , through the axiom . and in all consideration of an axiomatic theory , only what be expressly formulate in the axiom about the fundamental relation be use .","TOK:In formal axiomatics on the other hand , the fundamental relations are not assumed to be determined in content from the beginning ; rather , they obtain their determination at the outset implicitly , through the axioms . And in all considerations of an axiomatic theory , only what is expressly formulated in the axioms about the fundamental relations is used .",,1,,-1,,
-- formal[1] -- -- --,3,NYNNN,P_000176,B_0000P_0176,foundmath1-12.p.55,Y:3:1,-- formal[1] -- -- --,85,1,1.18,1,100,n.a.,--,Y:3:1,formal[1],n.a.,--,n.a.,--,n.a.,--,"LEM:[ as a result ] consequently , if in axiomatic geometry the respective name for relation in intuitive geometry like "" lie on "" or "" between "" be use , this be [ only ] merely a concession to custom and a means of [ simplify ] ease the connection [ of ] between the theory [ with ] and intuitive fact . in [ fact ] truth , however , the fundamental relation in formal axiomatic play the role of variable predicate .","TOK:[ As a result ] Consequently , if in axiomatic geometry the respective names for relations in intuitive geometry like “ lie on ” or “ between ” are used , this is [ only ] merely a concession to custom and a means of [ simplifying ] easing the connection [ of ] between the theory [ with ] and intuitive facts . In [ fact ] truth , however , the fundamental relations in formal axiomatics play the role of variable predicates .",,0,,-1,,
-- content[1] contentual[1] contentually[1] -- -- --,9,NYNNN,P_000180,B_0000P_0180,foundmath1-12.p.59,Y:3:3,-- content[1] contentual[1] contentually[1] -- -- --,104,3,2.88,3,100,n.a.,--,Y:3:3,content[1] contentual[1] contentually[1],n.a.,--,n.a.,--,n.a.,--,"LEM:appear alongside the variable predicate , there be also the identity relation x = y , and this be to be interpret contentually . that we accept this predicate as determinate in content be not a violation of our methodological standpoint . the contentual determination of identity—which be not a relation at all in the true sense—is not dependent on the particular circle of idea concern the actual domain to be investigate axiomatically . rather , it merely / solely concern the separation of the individual , and must be take as give to we when the domain of individual be lay down .","TOK:Appearing alongside the variable predicates , there is also the identity relation x = y , and this is to be interpreted contentually . That we accept this predicate as determinate in content is not a violation of our methodological standpoint . The contentual determination of identity—which is not a relation at all in the true sense—is not dependent on the particular circle of ideas concerning the actual domain to be investigated axiomatically . Rather , it merely / solely concerns the separation of the individuals , and must be taken as given to us when the domain of individuals is laid down .",,1,,0,,
-- content[1] -- -- --,3,NYNNN,P_000181,B_0000P_0181,foundmath1-12.p.60,Y:3:1,-- content[1] -- -- --,132,1,0.76,1,100,n.a.,--,Y:3:1,content[1],n.a.,--,n.a.,--,n.a.,--,"LEM:follow this view , to a theorem of the form s ( gr , zw ) , there correspond a determinate logical content , namely that for any predicate r ( x , y , z ) , s ( x , y , z ) satisfy the requirement express by a ( r , s ) , the relation s ( r , s ) also obtain , thus that for any two predicate r ( x , y , z ) , s ( x , y , z ) , the formula a ( r , s ) → s ( r , s ) represent a true assertion . in this way , a geometrical theorem be transform into a theorem of pure predicate logic . | 8","TOK:Following this view , to a theorem of the form S ( Gr , Zw ) , there corresponds a determinate logical content , namely that for any predicates R ( x , y , z ) , S ( x , y , z ) satisfying the requirements expressed by A ( R , S ) , the relation S ( R , S ) also obtains , thus that for any two predicates R ( x , y , z ) , S ( x , y , z ) , the formula A ( R , S ) → S ( R , S ) represents a true assertion . In this way , a geometrical theorem is transformed into a theorem of pure predicate logic . | 8",,0,,-1,,
-- general[1] generally[1] -- -- --,6,NYNNN,P_000182,B_0000P_0182,foundmath1-12.p.61,Y:3:2,-- general[1] generally[1] -- -- --,144,2,1.39,2,100,n.a.,--,Y:3:2,general[1] generally[1],n.a.,--,n.a.,--,n.a.,--,"LEM:[ from this point of view ] correspondingly , the problem of consistency present itself [ in a corresponding way ] tilgen as a problem of pure predicate logic . [ in fact ] indeed , it be a question of whether two three-place predicate r ( x , y , z ) , s ( x , y , z ) can satisfy the condition express [ in ] through the formula a ( r , s ) 4 or whether , on the contrary , the assumption that the formula a ( r , s ) be satisfied for a certain pair of predicate lead to a [ contradiction ] contradiction , so that [ in general ] generally for every pair of predicate r , s the formula a ( r , s ) represent a correct assertion . here .","TOK:[ From this point of view ] Correspondingly , the problem of consistency presents itself [ in a corresponding way ] TILGEN as a problem of pure predicate logic . [ In fact ] Indeed , it is a question of whether two three-place predicates R ( x , y , z ) , S ( x , y , z ) can satisfy the conditions expressed [ in ] through the formula A ( R , S ) 4 or whether , on the contrary , the assumption that the formula A ( R , S ) is satisfied for a certain pair of predicates leads to a [ contradiction ] contradiction , so that [ in general ] generally for every pair of predicates R , S the formula A ( R , S ) represents a correct assertion . HERE .",,-1,,-1,,
-- general[1] -- -- --,3,NYNNN,P_000183,B_0000P_0183,foundmath1-12.p.62,Y:3:1,-- general[1] -- -- --,44,1,2.27,1,100,n.a.,--,Y:3:1,general[1],n.a.,--,n.a.,--,n.a.,--,"LEM:a question like the one give here be part of the "" decision problem . "" in new logic this problem be understand to be that of discover general method for decide the "" validity "" or "" satisfiability "" of logical formula .5",TOK:A question like the one given here is part of the “ decision problem . ” In newer logic this problem is understood to be that of discovering general methods for deciding the “ validity ” or “ satisfiability ” of logical formulas .5,,-1,,-1,,
-- formally[1] -- -- --,3,NYNNN,P_000192,B_0000P_0192,foundmath1-12.p.71,Y:3:1,-- formally[1] -- -- --,47,1,2.13,1,100,n.a.,--,Y:3:1,formally[1],n.a.,--,n.a.,--,n.a.,--,"LEM:it should be note that it be good to leave out of consideration the domain of 0 individual on principle , since formally zero-numbered domain of individual have a special status , and on the other hand consideration of they be trivial and worthless for application .6","TOK:It should be noted that it is best to leave out of consideration the domain of 0 individuals on principle , since formally zero-numbered domains of individuals have a special status , and on the other hand consideration of them is trivial and worthless for applications .6",,-1,,-1,,
-- formal[1] -- -- --,3,NYNNN,P_000224,B_0000P_0224,foundmath1-12.p.103,Y:3:1,-- formal[1] -- -- --,205,1,0.49,1,100,n.a.,--,Y:3:1,formal[1],n.a.,--,n.a.,--,n.a.,--,"LEM:these consideration make we realize that reference to non-mathematical object can not settle the question whether an infinite manifold exist ; the question must be solve within mathematic itself . but how should one make a start with such a solution ? at first glance it seem that something impossible be be demand here : to present infinitely many individual be impossible in principle ; therefore an infinite domain of individual as such can only be indicate through its structure , i . e . , through relation hold among its element . in other word : a proof must be give that for this domain certain formal relation can be satisfied . the existence of an infinite domain of individual can not be represent in any other way than through the satisfiability of certain logical formula ; but these be exactly the kind of formula we be lead to through investigate the question of the existence of an infinite domain of individual ; and the satisfiability of these formula be to have be demonstrate by the exhibition of an infinite domain of individual . the attempt to apply the method of exhibition to the formula under consideration lead then to a vicious circle .","TOK:These considerations make us realize that reference to non-mathematical objects can not settle the question whether an infinite manifold exists ; the question must be solved within mathematics itself . But how should one make a start with such a solution ? At first glance it seems that something impossible is being demanded here : to present infinitely many individuals is impossible in principle ; therefore an infinite domain of individuals as such can only be indicated through its structure , i . e . , through relations holding among its elements . In other words : a proof must be given that for this domain certain formal relations can be satisfied . The existence of an infinite domain of individuals can not be represented in any other way than through the satisfiability of certain logical formulas ; but these are exactly the kind of formulas we were led to through investigating the question of the existence of an infinite domain of individuals ; and the satisfiability of these formulas was to have been demonstrated by the exhibition of an infinite domain of individuals . The attempt to apply the method of exhibition to the formulas under consideration leads then to a vicious circle .",,0,This paragraph is an example of an question cannot be solves w.r.t objects thus should be solved formally - entailing a distinction betwen the two.,-1,,
-- general[1] -- -- --,3,NYNNN,P_000227,B_0000P_0227,foundmath1-12.p.106,Y:3:1,-- general[1] -- -- --,135,1,0.74,1,100,n.a.,--,Y:3:1,general[1],n.a.,--,n.a.,--,n.a.,--,"LEM:accordingly , when an infinite domain of individual be under consideration , the satisfiability of an axiom system be a sufficient condition for its consistency , but it be not prove to be a necessary condition . we cannot therefore expect that in general a proof of consistency can be accomplish by mean of a proof of satisfiability . on the other hand we be not force to prove consistency by establish satisfiability ; we can just hold to the original negative sense of inconsistency . that be to say—if we again imagine an axiom system represent by a formula a—we do not have to show that satisfiability of the formula a , but only need to prove that the assumption that a be satisfied by certain predicate cannot lead to a logical contradiction .","TOK:Accordingly , when an infinite domain of individuals is under consideration , the satisfiability of an axiom system is a sufficient condition for its consistency , but it is not proved to be a necessary condition . We cannot therefore expect that in general a proof of consistency can be accomplished by means of a proof of satisfiability . On the other hand we are not forced to prove consistency by establishing satisfiability ; we can just hold to the original negative sense of inconsistency . That is to say—if we again imagine an axiom system represented by a formula A—we do not have to show that satisfiability of the formula A , but only need to prove that the assumption that A is satisfied by certain predicates cannot lead to a logical contradiction .",,-1,,-1,,
-- formalization[1] -- -- --,3,NYNNN,P_000228,B_0000P_0228,foundmath1-12.p.107,Y:3:1,-- formalization[1] -- -- --,54,1,1.85,1,100,n.a.,--,Y:3:1,formalization[1],n.a.,--,n.a.,--,n.a.,--,"LEM:to attack the problem in these term we must first aim at an overview of the possible logical inference that can be make from an axiom system . the formalization of logical inference as develop by frege , schröder , peano , and russell present itself as an appropriate mean to this end .","TOK:To attack the problem in these terms we must first aim at an overview of the possible logical inferences that can be made from an axiom system . The formalization of logical inference as developed by Frege , Schröder , Peano , and Russell presents itself as an appropriate means to this end .",,-1,,-1,,
-- formalize[1] -- -- --,3,NYNNN,P_000229,B_0000P_0229,foundmath1-12.p.108,Y:3:1,-- formalize[1] -- -- --,86,1,1.16,1,100,n.a.,--,Y:3:1,formalize[1],n.a.,--,n.a.,--,n.a.,--,"LEM:we have thus arrive at the follow task : 1 . to formalize rigorously the principle of logical inference and by this turn they into a completely surveyable system of rule ; 2 . to show for a give axiom system a ( which be to be prove consistent ) , that start with this system a no contradiction can arise via logical deduction , that be to say , no two formula of which one be the negation of the other can be prove .","TOK:We have thus arrived at the following tasks : 1 . to formalize rigorously the principles of logical inference and by this turn them into a completely surveyable system of rules ; 2 . to show for a given axiom system A ( which is to be proved consistent ) , that starting with this system A no contradiction can arise via logical deductions , that is to say , no two formulas of which one is the negation of the other can be proved .",,-1,*but this paragraph shed light on a different notion of formalisation as surveyability,-1,,Comp
-- general[1] -- -- --,3,NYNNN,P_000236,B_0000P_0236,foundmath1-12.p.115,Y:3:1,-- general[1] -- -- --,159,1,0.63,1,100,n.a.,--,Y:3:1,general[1],n.a.,--,n.a.,--,n.a.,--,"LEM:6 the stipulation that every domain of individual should contain at least one thing , so that a true general judgement must hold of at least one thing , ought not to be confuse with the convention prominent in aristotelean logic that a judgment of the form "" all s be p "" count as true only if there be in fact thing with the property s. this convention have be drop in new logic . a judgment of this kind be represent symbolically in the form ( x ) ( s(x) → p(x) ); it count as true if a thing x , insofar as it have the property s(x) , always have the property p(x) as well—independently of whether there be anything with the property sx at all . we will take up this topic again in connection with the deductive construction of predicate logic . ( see § 4 pp . 106 – 107 . )","TOK:6 The stipulation that every domain of individuals should contain at least one thing , so that a true general judgement must hold of at least one thing , ought not to be confused with the convention prominent in Aristotelean logic that a judgment of the form “ all S are P ” counts as true only if there are in fact things with the property S. This convention has been dropped in newer logic . A judgment of this kind is represented symbolically in the form ( x ) ( S(x) → P(x) ); it counts as true if a thing x , insofar as it has the property S(x) , always has the property P(x) as well—independently of whether there is anything with the property Sx at all . We will take up this topic again in connection with the deductive construction of predicate logic . ( See § 4 pp . 106 – 107 . )",,-1,,-1,,
-- generality[1] -- -- --,3,NYNNN,P_000244,B_0000P_0244,geometry1925.p.4,Y:3:1,-- generality[1] -- -- --,185,1,0.54,1,100,n.a.,--,Y:3:1,generality[1],n.a.,--,n.a.,--,n.a.,--,"LEM:on the one hand strohal , as he mention in the beginning , want to leave the question of application to "" our space "" completely aside ( he do not , in fact , go to such an extreme ); he be concerned with the foundation of pure geometry . a foundation of geometry through spatial experience be out of question for he . but he also exclude a rational foundation base on an appeal to an aprioristic evidence of geometrical intuition , because he do not accept any aprioristic evidence other than the analytic one and do not attribute any rational character to intuition . he do not enter into a close discussion of the concept of "" intuition , "" but begin with the view—which he take as self-evident , as it be , and which be admittedly also common among exact researchers—that intuition be neither capable of give we perfectly clear object nor of present we with a relation as necessary , so that all idealization and all insight of strict generality come about only by way of conceptual abstraction .","TOK:On the one hand Strohal , as he mentions in the beginning , wants to leave the question of application to “ our space ” completely aside ( he does not , in fact , go to such an extreme ); he is concerned with the foundations of pure geometry . A foundation of geometry through spatial experience is out of question for him . But he also excludes a rational foundation based on an appeal to an aprioristic evidence of geometrical intuition , because he does not accept any aprioristic evidence other than the analytic one and does not attribute any rational character to intuition . He does not enter into a closer discussion of the concept of “ intuition , ” but begins with the view—which he takes as self-evident , as it were , and which is admittedly also common among exact researchers—that intuition is neither capable of giving us perfectly clear objects nor of presenting us with a relation as necessary , so that all idealizations and all insights of strict generality come about only by way of conceptual abstraction .",,-1,,0,"states the relation between strict generality and conceptual abstraction, remains to be shown if the abstraction is from particular identity of obejct or from content in general.",
-- formal[1] -- -- --,3,NYNNN,P_000245,B_0000P_0245,geometry1925.p.5,Y:3:1,-- formal[1] -- -- --,62,1,1.61,1,100,n.a.,--,Y:3:1,formal[1],n.a.,--,n.a.,--,n.a.,--,"LEM:consider his epistemological position one should now think that strohal would welcome the standpoint of hilbert ' s formal axiomatic as be in accord with his view and his intention . but in fact he agree by no means agree with this modern axiomatic ; he rather explicitly oppose it and , in particular , hilbert ' s foundation of geometry .","TOK:Considering his epistemological position one should now think that Strohal would welcome the standpoint of Hilbert ’ s formal axiomatics as being in accord with his views and his intention . But in fact he agrees by no means agrees with this modern axiomatics ; he rather explicitly opposes it and , in particular , Hilbert ’ s foundation of geometry .",,-1,,0,shed light to P_000244,
-- general[1] generality[1] -- -- --,6,NYNNN,P_000254,B_0000P_0254,geometry1925.p.14,Y:3:2,-- general[1] generality[1] -- -- --,63,2,3.17,2,100,n.a.,--,Y:3:2,general[1] generality[1],n.a.,--,n.a.,--,n.a.,--,"LEM:despite the indeterminacy of the criterion , the aim pursue with it can be recognize : geometry should—like a philosophical science—advance in its formation of concept from the high generality to the particular by way of conceptual synthesis . it must therefore not take the concept of particular geometrical entity as elementary concept , but only those of an entirely general character .","TOK:Despite the indeterminacy of the criterion , the aim pursued with it can be recognized : Geometry should—like a philosophical science—advance in its formation of concepts from the highest generality to the particular by way of conceptual synthesis . It must therefore not take the concepts of particular geometrical entities as elementary concepts , but only those of an entirely general character .",,-1,,0,,
-- generality[1] -- -- --,3,NYNNN,P_000269,B_0000P_0269,geometry1925.p.29,Y:3:1,-- generality[1] -- -- --,69,1,1.45,1,100,n.a.,--,Y:3:1,generality[1],n.a.,--,n.a.,--,n.a.,--,"LEM:here it have to be remark first of all that deviate from euclid on this point be not a result of mere sloppiness but be completely intentional . euclid put the proposition of the theory of magnitude , which be gather under the title κoινα ` ι ´ ϵννoιαιbefore the specifically geometrical postulate as proposition of great than geometrical generality , which be to be apply to geometry .","TOK:Here it has to be remarked first of all that deviating from Euclid on this point is not a result of mere sloppiness but is completely intentional . Euclid puts the propositions of the theory of magnitude , which are gathered under the title κoινα ` ι ´ ϵννoιαιbefore the specifically geometrical postulates as propositions of greater than geometrical generality , which are to be applied to geometry .",,-1,,-1,,
-- general[1] -- -- --,3,NYNNN,P_000272,B_0000P_0272,geometry1925.p.32,Y:3:1,-- general[1] -- -- --,67,1,1.49,1,100,n.a.,--,Y:3:1,general[1],n.a.,--,n.a.,--,n.a.,--,"LEM:consider such a case one recognize that the essential point in apply the κoινα ` ι ´ ϵννoιαι always lie in the condition of applicability . if these condition be recognize as satisfied , the application of the respective principle in most case become entirely superfluous , and sometimes the proposition to be prove by apply the general principle belong itself to these condition of applicability .","TOK:Considering such a case one recognizes that the essential point in applying the κoινα ` ι ´ ϵννoιαι always lies in the conditions of applicability . If these conditions are recognized as satisfied , the application of the respective principle in most cases becomes entirely superfluous , and sometimes the proposition to be proved by applying the general principle belongs itself to these conditions of applicability .",,-1,,-1,,
